                         Sensor    Angle from x axis                         x                         y
                         1                         0                       0.4                         0
                         2                     5.625         0.398073890668879        0.0392068561318242
                         3                     11.25         0.392314112161292        0.0780361288064513
                         4                    16.875         0.382776134292884         0.116113870901785
                         5                      22.5         0.369551813004515         0.153073372946036
                         6                    28.125         0.352768505739342         0.188558694730399
                         7                     33.75         0.332587844921018         0.222228093207841
                         8                    39.375         0.309204181345095         0.253757313665458
                         9                        45         0.282842712474619         0.282842712474619
                        10                    50.625         0.253757313665458         0.309204181345095
                        11                     56.25         0.222228093207841         0.332587844921018
                        12                    61.875         0.188558694730399         0.352768505739342
                        13                      67.5         0.153073372946036         0.369551813004515
                        14                    73.125         0.116113870901785         0.382776134292884
                        15                     78.75        0.0780361288064513         0.392314112161292
                        16                    84.375        0.0392068561318242         0.398073890668879
                        17                        90                         0                       0.4
                        18                    95.625       -0.0392068561318242         0.398073890668879
                        19                    101.25       -0.0780361288064513         0.392314112161292
                        20                   106.875        -0.116113870901785         0.382776134292884
                        21                     112.5        -0.153073372946036         0.369551813004515
                        22                   118.125        -0.188558694730399         0.352768505739342
                        23                    123.75        -0.222228093207841         0.332587844921018
                        24                   129.375        -0.253757313665458         0.309204181345095
                        25                       135        -0.282842712474619         0.282842712474619
                        26                   140.625        -0.309204181345095         0.253757313665458
                        27                    146.25        -0.332587844921018         0.222228093207841
                        28                   151.875        -0.352768505739342         0.188558694730399
                        29                     157.5        -0.369551813004515         0.153073372946036
                        30                   163.125        -0.382776134292884         0.116113870901785
                        31                    168.75        -0.392314112161292        0.0780361288064513
                        32                   174.375        -0.398073890668879        0.0392068561318242
                        33                       180                      -0.4                         0
                        34                   185.625        -0.398073890668879       -0.0392068561318242
                        35                    191.25        -0.392314112161292       -0.0780361288064513
                        36                   196.875        -0.382776134292884        -0.116113870901785
                        37                     202.5        -0.369551813004515        -0.153073372946036
                        38                   208.125        -0.352768505739342        -0.188558694730399
                        39                    213.75        -0.332587844921018        -0.222228093207841
                        40                   219.375        -0.309204181345095        -0.253757313665458
                        41                       225        -0.282842712474619        -0.282842712474619
                        42                   230.625        -0.253757313665458        -0.309204181345095
                        43                    236.25        -0.222228093207841        -0.332587844921018
                        44                   241.875        -0.188558694730399        -0.352768505739342
                        45                     247.5        -0.153073372946036        -0.369551813004515
                        46                   253.125        -0.116113870901785        -0.382776134292884
                        47                    258.75       -0.0780361288064513        -0.392314112161292
                        48                   264.375       -0.0392068561318242        -0.398073890668879
                        49                       270                         0                      -0.4
                        50                   275.625        0.0392068561318242        -0.398073890668879
                        51                    281.25        0.0780361288064513        -0.392314112161292
                        52                   286.875         0.116113870901785        -0.382776134292884
                        53                     292.5         0.153073372946036        -0.369551813004515
                        54                   298.125         0.188558694730399        -0.352768505739342
                        55                    303.75         0.222228093207841        -0.332587844921018
                        56                   309.375         0.253757313665458        -0.309204181345095
                        57                       315         0.282842712474619        -0.282842712474619
                        58                   320.625         0.309204181345095        -0.253757313665458
                        59                    326.25         0.332587844921018        -0.222228093207841
                        60                   331.875         0.352768505739342        -0.188558694730399
                        61                     337.5         0.369551813004515        -0.153073372946036
                        62                   343.125         0.382776134292884        -0.116113870901785
                        63                    348.75         0.392314112161292       -0.0780361288064513
                        64                   354.375         0.398073890668879       -0.0392068561318242
